Channel,Sample Rate (Hz)
L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,512
L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,512
L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,512
