Channel,Sample Rate (Hz)
L1:PEM-EY_ACC_BEAMTUBE_MAN_Y_DQ,4096
L1:PEM-EY_VAULT_MAG_LEMI_X_DQ,4096
L1:PEM-EY_VAULT_MAG_LEMI_Y_DQ,4096
