Channel,Sample Rate (Hz)
L1:ASC-CHARD_P_A_OUT_DQ,256
L1:SQZ-ASC_ANG_P_OUT_DQ,256
L1:SQZ-ASC_ANG_Y_OUT_DQ,256
L1:SQZ-ASC_POS_P_OUT_DQ,256
L1:SQZ-ASC_POS_Y_OUT_DQ,256
L1:SUS-OM3_M1_DAMP_L_IN1_DQ,256
