Channel,Sample Rate (Hz)
H1:CAL-PCALY_RX_PD_OUT_DQ,16384
H1:OMC-PZT1_MON_AC_OUT_DQ,16384
H1:PSL-FSS_FAST_MON_OUT_DQ,16384
