Channel,Sample Rate (Hz)
H1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,512
H1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,512
H1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,512
